Job Title,Experience,Company,Scraped data,Salary,Location,Tags,Posted date
"Fresher required For SME,Video Editor,Content Writer",0-2 Yrs,BPO Plus,07/04/2023,1-1.5 Lacs PA,Mohali,"['Video Production', 'social media marketing', 'Content Writing', 'social media', 'marketing', 'editing', 'production', 'content editing']",Just Now
Content Writer,0-3 Yrs,Webware.io,07/04/2023,1.5-4 Lacs PA,Panaji/Panjim,"['content writing', 'content development', 'editing', 'web content writing', 'creative writing', 'content editing', 'content', 'writing']",2 Days Ago
Content Writer Trainee (Internship),0-5 Yrs,Eseo Solutions,07/04/2023,"50,000-2 Lacs PA",Gurgaon/Gurugram,"['Written Communication', 'Writing', 'Verbal Communication', 'Content Writing', 'communication skills', 'english writing', 'creative', 'creative writing']",1 Day Ago
Creative Content Writer,0-1 Yrs,Dynamics Centre,07/04/2023,1.5-2.5 Lacs PA,Gurgaon/Gurugram(Udyog Vihar),"['Content Writing', 'seo', 'editing', 'seo writing', 'article writing', 'creative content', 'creative', 'content']",8 Days Ago
"SEO Content Writer- US IT MNC-  Aundh, Pune",0-3 Yrs,US IT MNC,07/04/2023,Not disclosed,Pune,"['Article Writing', 'seo', 'web content writing', 'seo writing', 'seo content', 'content', 'web content', 'writing']",1 Day Ago
Creative Content Writer - Internship / Executive,0-4 Yrs,Ufaber Edutech,07/04/2023,"50,000-2.5 Lacs PA",Mumbai (All Areas),"['Creative Writing', 'english', 'development', 'content development', 'social media', 'creative content', 'language training', 'english literature']",10 Days Ago
Content Writer with ITM Group of Institution @ Navi Mumbai,0-5 Yrs,Itm Edutech Training,07/04/2023,Not disclosed,"Mumbai, Navi Mumbai, Mumbai (All Areas)","['Content Writer', 'Content', 'content writing', 'editing', 'creative writing', 'institutions', 'writing', 'web technologies']",9 Days Ago
Content Writer,0-3 Yrs,Finowings Training Academy,07/04/2023,Not disclosed,Lucknow,"['seo', 'publishing', 'business development', 'system', 'content writing', 'c', 'writing', 'content management']",3 Days Ago
Content Writer,0-3 Yrs,Fbmtcs ( A Unit Of First Career Centre ),07/04/2023,Not disclosed,New Delhi,"['seo', 'research', 'content writing', 'content', 'e-commerce', 'writing', 'proof reading']",2 Days Ago
Social Media manager & Content Writer,0-2 Yrs,Home Plus Reality,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['seo', 'social media', 'marketing', 'copy writing', 'campaigns', 'marketing campaigns', 'content writing', 'content']",3 Days Ago
"Urgent Job Opening For Content Writer, Hyderabad- Work from Office",0-2 Yrs,Confidential,07/04/2023,Not disclosed,Hyderabad/Secunderabad(Madhapur),"['Blog Writing', 'web content', 'market research', 'article writing', 'writing', 'content strategy', 'content management', 'content']",6 Days Ago
Content Writer - Full Time Opportunity,0-4 Yrs,Sunstone Business School,07/04/2023,1-5 Lacs PA,Gurgaon/Gurugram,"['content writing', 'web content', 'development', 'secondary research', 'marketing', 'web technologies', 'writing', 'content']",6 Days Ago
Content Writer,0-2 Yrs,Academic Insights Media,07/04/2023,2.5-3.75 Lacs PA,Hybrid - Bangalore/Bengaluru,"['Content Writing', 'management', 'development', 'editing', 'proof reading', 'article writing', 'writing', 'content']",7 Days Ago
Web Content Writer,0-5 Yrs,Grameen Edtech Ventures,07/04/2023,2.5-7.5 Lacs PA,New Delhi(Malviya Nagar +2),"['Web Content Writing', 'computer skills', 'team', 'critical thinking', 'building', 'leadership', 'writing', 'proof reading']",Just Now
Content Writer,0-3 Yrs,RARR Technologies,07/04/2023,Not disclosed,Mumbai,"['media', 'idea', 'content writing', 'writing', 'social media', 'generation', 'research', 'seo']",1 Day Ago
Content Writer,0-4 Yrs,Mediacle,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['SEO Writing', 'Technical Editing', 'Proof Reading', 'Web Content Writing', 'Blog Writing', 'seo', 'editing', 'content']",1 Day Ago
Hindi Content Writer,0-2 Yrs,Impact Guru,07/04/2023,1.25-3 Lacs PA,Mumbai (All Areas)(Marol),"['hindi content writting skiils', 'content writing', 'hindi typing', 'writing', 'content', 'hindi', 'social media', 'media']",1 Day Ago
Content Writer,0-2 Yrs,Rankitright Media(opc),07/04/2023,2.5-4 Lacs PA,Bangalore/Bengaluru,"['content writing', 'editing', 'content', 'content editing', 'writing', 'speaking skills', 'blogs', 'blog writing']",2 Days Ago
Consultant,0-5 Yrs,Highradius,07/04/2023,Not disclosed,Hyderabad/Secunderabad,"['life cycle', 'management', 'project life cycle', 'application software', 'cloud', 'project', 'software testing', 'techno functional']",1 Day Ago
Consultant Pathologist  - UNA| Himachal Pradesh,0-5 Yrs,Dr Lal PathLabs,07/04/2023,Not disclosed,Una,"['pathologist', 'clinical', 'dcp', 'dnb', 'hematology', 'mdt', 'md pathology', 'consulting']",Few Hours Ago
Consultant,0-5 Yrs,Highradius,07/04/2023,Not disclosed,Hyderabad/Secunderabad,"['operations', 'product management', 'management', 'customer support', 'order to cash', 'reporting', 'project life cycle', 'consulting']",4 Days Ago
Aligner Consultant,0-5 Yrs,Clove Dental,07/04/2023,3-4 Lacs PA,"New Delhi, Delhi / NCR","['Bds', 'canal', 'bd', 'root canal treatment', 'alignment', 'filling', 'consulting', 'dentistry']",5 Days Ago
Consultant Pediatrician/Neonatologist - Rajgir (Nalanda),0-3 Yrs,Ruban Memorial Hospital,07/04/2023,Not disclosed,Rajgir,"['neonatology', 'pediatrics', 'Dch', 'picu', 'consulting', 'nicu']",2 Days Ago
Consultant Rheumatology,0-5 Yrs,Medanta,07/04/2023,Not disclosed,Indore,"['rheumatology', 'clinical', 'consulting']",6 Days Ago
Consultant,0-2 Yrs,Grant Thornton,07/04/2023,Not disclosed,Hyderabad/Secunderabad,"['due diligence', 'people management', 'people management skills', 'management', 'central excise', 'appeals', 'excel', 'excise']",9 Days Ago
Lady consultants in Gynecology,0-5 Yrs,M/S Fair Deal Recruitment Support Consultant,07/04/2023,Not disclosed,"Bareilly, Rudrapur, Khatima","['Gynecologist', 'mdt', 'consulting', 'gynecology', 'MD/MS-OBGY', 'DNB-OBGY']",2 Days Ago
Consultant Neurology,0-5 Yrs,Ivy Hospitals,07/04/2023,40-50 Lacs PA,punjab,"['Neurology', 'consulting', 'Neurologist']",2 Days Ago
Consultant,0-2 Yrs,Space Consultant,07/04/2023,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram","['Consultant', 'patents', 'consulting', 'intellectual property rights', 'property', 'patentability', 'intellectual property']",11 Days Ago
Consultant,0-2 Yrs,Insight Advisors,07/04/2023,Not disclosed,Mumbai,"['Assurance Services', 'management', 'risk management', 'statutory', 'ca', 'risk', 'consulting', 'service assurance']",7 Days Ago
Consultant,0-2 Yrs,Insight Advisors .,07/04/2023,Not disclosed,Mumbai,"['Assurance Services', 'management', 'statutory', 'risk management', 'assurance', 'ca', 'risk', 'service assurance']",7 Days Ago
Node JS Consultant (Mid Level),5-8 Yrs,Infosys,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Node JS', 'software', 'leveling', 'javascript', 'node', 'node.js', 'software configuration', 'project management']",1 Day Ago
QAD Consultant,2-5 Yrs,Infosys,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['QAD', 'management', 'consulting', 'erp', 'supply chain', 'supply', 'supply chain management', 'finance']",1 Day Ago
OFSAA Consultant,5-8 Yrs,Infosys,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['OFSAA', 'erm', 'epm', 'consulting', 'FCCM']",1 Day Ago
Tririga Consultant,2-5 Yrs,Infosys,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Tririga', 'digital transformation', 'problem solving', 'technology', 'technology solutions', 'eam', 'consulting', 'transformation']",1 Day Ago
Springboot Microservices Consultant,2-7 Yrs,Infosys,07/04/2023,Not disclosed,Hyderabad/Secunderabad,"['Spring boot', 'cloud', 'spring microservices', 'technology solutions', 'microservices', 'boot', 'consulting', 'cloud platform']",1 Day Ago
Seeburger Consultant,2-5 Yrs,Infosys,07/04/2023,Not disclosed,Hyderabad/Secunderabad,"['Seeburger BIS', 'seeburger', 'digital transformation', 'bis', 'bi', 'technology', 'technology solutions', 'transformation']",1 Day Ago
Powerapps Consultant,2-7 Yrs,Infosys,07/04/2023,Not disclosed,Pune,"['Microsoft Azure', 'dynamics', 'digital transformation', 'powerapps', 'power platform', 'crm', 'microsoft', 'dynamic']",1 Day Ago
Tririga Consultant (Mid-Level),5-9 Yrs,Infosys,07/04/2023,Not disclosed,Bangalore/Bengaluru,"['Tririga', 'configuration', 'management', 'configuration management tools', 'management systems', 'system', 'eam', 'software configuration management']",1 Day Ago
"Professional FT - AL Maintenance, Foundry",0-2 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['breakdown maintenance', 'al', 'maintenance', 'electricals', 'equipment maintenance', 'orientation', 'process', 'training']",1 Day Ago
Sr. Manager (L5) - Utilities- TPEM Sanand,15-16 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['purchase', 'project', 'construction project', 'rfq', 'construction management', 'procurement', 'budgeting', 'construction']",1 Day Ago
Sr. Manager (L5) - Maintenance Stamping - TPEM Sanand,4-7 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['management', 'equipment maintenance', 'preventive maintenance', 'risk management', 'mtbf', 'maintenance', 'kaizen', 'overhauling']",1 Day Ago
Sr. Manager (L5) - Maintenance Paint- TPEM Sanand,4-7 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['risk', 'rfq', 'management', 'sr', 'maintenance', 'maintenance management', 'overhauling', 'process capability']",1 Day Ago
Sr. Manager (L5) - FPIG Top Controls,3-8 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['tpm', 'automation', 'labour', 'sr', 'kaizen', 'risk', 'mtbf', 'cost']",1 Day Ago
Sr. Manager (L5) - FPIG Top Coat,3-8 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['kaizen', 'logistics', 'management', 'technical services', 'health management', 'balance', 'line', 'sr']",1 Day Ago
Sr. Manager - Scheduling & Procurement,5-8 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['procurement', 'mm', 'process', 'monitoring', 'sap', 'supply chain', 'manufacturing process', 'scheduling']",1 Day Ago
SMTE - Cockpit & Console,4-10 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['dfs', 'rfq', 'concept development', 'material selection', 'development', 'process improvement', 'cockpit', 'improvement']",1 Day Ago
Senior Manager - P&BPE: IE LKW-CV Operations-TMC,2-12 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['line balancing', 'p', 'quality control management', 'line', 'shop floor', 'plm', 'manufacturing', 'control']",1 Day Ago
Senior Manager(L5) - Vehicle Integration Manager,10-12 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['ipr', 'vehicle', 'integration', 'vehicle integration', 'management', 'thermal', 'cost reduction', 'budgeting']",1 Day Ago
Senior Manager(L5) - Powertrain Crank shaft Line Maintenance,8-9 Yrs,Tata Motors Finance,07/04/2023,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","['conflict', 'geometry', 'senior', 'tpm', 'sap', 'system maintenance', 'powertrain', 'system']",1 Day Ago
